Jul 28 08:01:10.638175 np0000040449 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 28 08:01:10.646019 np0000040449 memory_tracker.sh[43629]: [[[
Jul 28 08:01:10.646740 np0000040449 memory_tracker.sh[43643]: Tue Jul 28 08:01:10 UTC 2026
Jul 28 08:01:10.646860 np0000040449 memory_tracker.sh[43629]: ---
Jul 28 08:01:10.646881 np0000040449 memory_tracker.sh[43629]: memory_tracker low_point: 10733492
Jul 28 08:01:10.646881 np0000040449 memory_tracker.sh[43629]: ---
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: MemTotal:       12245836 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: MemFree:          272840 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: MemAvailable:   10733492 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Buffers:          221124 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Cached:          9976928 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: SwapCached:            4 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Active:           879276 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Inactive:        9939312 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Active(anon):     672596 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Inactive(anon):      280 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Active(file):     206680 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Inactive(file):  9939032 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Unevictable:      143592 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Mlocked:          142392 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: SwapTotal:       8388604 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: SwapFree:        8388336 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Zswap:               308 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Zswapped:             68 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Dirty:            217280 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Writeback:             0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: AnonPages:        764176 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Mapped:           157916 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Shmem:             32480 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: KReclaimable:     640624 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Slab:             772644 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: SReclaimable:     640624 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: SUnreclaim:       132020 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: KernelStack:        8048 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: PageTables:         9044 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: SecPageTables:         0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: NFS_Unstable:          0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Bounce:                0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: WritebackTmp:          0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: CommitLimit:    14511520 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Committed_AS:    2182076 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: VmallocTotal:   13743895347199 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: VmallocUsed:       27732 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: VmallocChunk:          0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Percpu:             5056 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: HardwareCorrupted:     0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: AnonHugePages:         0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: ShmemHugePages:        0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: ShmemPmdMapped:        0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: FileHugePages:         0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: FilePmdMapped:         0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Unaccepted:            0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: HugePages_Total:       0
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: HugePages_Free:        0
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: HugePages_Rsvd:        0
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: HugePages_Surp:        0
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Hugepagesize:       2048 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: Hugetlb:               0 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: DirectMap4k:      288620 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: DirectMap2M:     9148416 kB
Jul 28 08:01:10.647712 np0000040449 memory_tracker.sh[43645]: DirectMap1G:     5242880 kB
Jul 28 08:01:10.648382 np0000040449 memory_tracker.sh[43629]: ---
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:      42979    3.1          387168          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:      18100    1.1          134912          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:      27665    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:      42259    0.6           74428          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:      11438    0.3           40588      11436   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:        375    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:      36299    0.2           26980          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:      41128    0.2           26348          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 28 08:01:10.658630 np0000040449 memory_tracker.sh[43648]:       2392    0.2           26320       2391   00:00:00        2 do_wait                   /usr/bin/python3
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:       2184    0.1           21024          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:       1286    0.1           20476          1   00:01:08        2 inet_csk_accept           /usr/bin/python3
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:      16992    0.1           19936          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:      41199    0.1           18556          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:      36335    0.1           15532          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:      29976    0.1           15452          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:      32023    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:          1    0.1           14072          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:      11436    0.1           13144          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:        485    0.1           13020          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:       4583    0.1           12384       2395   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-28-075724
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:       4588    0.1           12284       2395   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-28-075724.summary.2026-07-28-075724
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:       2395    0.0           11508       2393   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:       1145    0.0           11460          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 28 08:01:10.659005 np0000040449 memory_tracker.sh[43648]:      38649    0.0            9980       2395   00:00:00        1 do_wait                   bash ./stack.sh
Jul 28 08:01:10.659199 np0000040449 memory_tracker.sh[43648]:        843    0.0            9684          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 28 08:01:10.659199 np0000040449 memory_tracker.sh[43648]:        536    0.0            9396          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 28 08:01:10.659199 np0000040449 memory_tracker.sh[43648]:      28146    0.0            8972          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
