Jul 17 11:55:27.354762 np0000039727 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 17 11:55:27.362561 np0000039727 memory_tracker.sh[43833]: [[[
Jul 17 11:55:27.363260 np0000039727 memory_tracker.sh[43847]: Fri Jul 17 11:55:27 UTC 2026
Jul 17 11:55:27.363391 np0000039727 memory_tracker.sh[43833]: ---
Jul 17 11:55:27.363413 np0000039727 memory_tracker.sh[43833]: memory_tracker low_point: 10800720
Jul 17 11:55:27.363413 np0000039727 memory_tracker.sh[43833]: ---
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: MemTotal:       12245840 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: MemFree:          397044 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: MemAvailable:   10799712 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Buffers:          166476 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Cached:          9973880 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: SwapCached:            4 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Active:           812956 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Inactive:        9950200 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Active(anon):     674052 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Inactive(anon):     1068 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Active(file):     138904 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Inactive(file):  9949132 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Unevictable:      143592 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Mlocked:          142392 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: SwapTotal:       8388604 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: SwapFree:        8388080 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Zswap:               248 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Zswapped:             48 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Dirty:             94148 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Writeback:             0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: AnonPages:        766556 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Mapped:           155608 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Shmem:             32460 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: KReclaimable:     640316 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Slab:             774332 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: SReclaimable:     640316 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: SUnreclaim:       134016 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: KernelStack:        7904 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: PageTables:         9072 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: SecPageTables:         0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: NFS_Unstable:          0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Bounce:                0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: WritebackTmp:          0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: CommitLimit:    14511524 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Committed_AS:    2200796 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: VmallocTotal:   13743895347199 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: VmallocUsed:       27680 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: VmallocChunk:          0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Percpu:             4960 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: HardwareCorrupted:     0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: AnonHugePages:         0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: ShmemHugePages:        0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: ShmemPmdMapped:        0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: FileHugePages:         0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: FilePmdMapped:         0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Unaccepted:            0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: HugePages_Total:       0
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: HugePages_Free:        0
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: HugePages_Rsvd:        0
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: HugePages_Surp:        0
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Hugepagesize:       2048 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: Hugetlb:               0 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: DirectMap4k:      286572 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: DirectMap2M:     7053312 kB
Jul 17 11:55:27.364146 np0000039727 memory_tracker.sh[43849]: DirectMap1G:     7340032 kB
Jul 17 11:55:27.364950 np0000039727 memory_tracker.sh[43833]: ---
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:      43183    3.1          386824          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:      18133    1.1          136888          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:      27707    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:      42466    0.6           74928          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:      11474    0.3           40720      11472   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:        371    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:      36450    0.2           26868          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:      41382    0.2           26436          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 17 11:55:27.375406 np0000039727 memory_tracker.sh[43854]:       2399    0.2           26288       2398   00:00:00        2 do_wait                   /usr/bin/python3
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:       2188    0.1           20928          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:       1287    0.1           20480          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:      41445    0.1           18504          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:      17031    0.1           18224          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:      30132    0.1           15464          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:      36486    0.1           15436          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:      32174    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:          1    0.1           13992          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:      11472    0.1           13248          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:        483    0.1           13132          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:       4590    0.1           12372       2402   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-17-114654
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:       4595    0.1           12304       2402   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-17-114654.summary.2026-07-17-114654
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:       2402    0.0           11584       2400   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:       1146    0.0           11532          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 17 11:55:27.375768 np0000039727 memory_tracker.sh[43854]:      38800    0.0           10044       2402   00:00:00        1 do_wait                   bash ./stack.sh
Jul 17 11:55:27.375965 np0000039727 memory_tracker.sh[43854]:        851    0.0            9652          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 17 11:55:27.375965 np0000039727 memory_tracker.sh[43854]:        543    0.0            9416          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 17 11:55:27.375965 np0000039727 memory_tracker.sh[43854]:      28235    0.0            8940          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
