Aug 12 09:13:42.992047 np0000041655 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 12 09:13:42.999936 np0000041655 memory_tracker.sh[43908]: [[[
Aug 12 09:13:43.000640 np0000041655 memory_tracker.sh[43923]: Wed Aug 12 09:13:43 UTC 2026
Aug 12 09:13:43.000793 np0000041655 memory_tracker.sh[43908]: ---
Aug 12 09:13:43.055702 np0000041655 memory_tracker.sh[43927]: [iscsid (pid:32262)]=14172KB; [multipathd (pid:368)]=288932KB; [ovs-vswitchd (pid:27738)]=901124KB
Aug 12 09:13:43.061392 np0000041655 memory_tracker.sh[43908]: ]]]
Aug 12 09:14:03.067252 np0000041655 memory_tracker.sh[43908]: [[[
Aug 12 09:14:03.067999 np0000041655 memory_tracker.sh[47355]: Wed Aug 12 09:14:03 UTC 2026
Aug 12 09:14:03.068152 np0000041655 memory_tracker.sh[43908]: ---
Aug 12 09:14:03.068152 np0000041655 memory_tracker.sh[43908]: memory_tracker low_point: 10286648
Aug 12 09:14:03.068152 np0000041655 memory_tracker.sh[43908]: ---
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: MemTotal:       12245840 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: MemFree:          151808 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: MemAvailable:   10286648 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Buffers:          166856 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Cached:          9852712 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: SwapCached:            4 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Active:          1294516 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Inactive:        9677564 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Active(anon):    1129376 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Inactive(anon):     1000 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Active(file):     165140 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Inactive(file):  9676564 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Unevictable:      143592 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Mlocked:          142392 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: SwapTotal:       8388604 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: SwapFree:        8388080 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Zswap:               336 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Zswapped:             68 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Dirty:             46616 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Writeback:             0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: AnonPages:       1096212 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Mapped:           197944 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Shmem:            157992 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: KReclaimable:     618820 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Slab:             750476 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: SReclaimable:     618820 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: SUnreclaim:       131656 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: KernelStack:        8736 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: PageTables:        11360 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: SecPageTables:         0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: NFS_Unstable:          0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Bounce:                0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: WritebackTmp:          0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: CommitLimit:    14511524 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Committed_AS:    2933596 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: VmallocTotal:   13743895347199 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: VmallocUsed:       28436 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: VmallocChunk:          0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Percpu:             5120 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: HardwareCorrupted:     0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: AnonHugePages:         0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: ShmemHugePages:        0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: ShmemPmdMapped:        0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: FileHugePages:         0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: FilePmdMapped:         0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Unaccepted:            0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: HugePages_Total:       0
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: HugePages_Free:        0
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: HugePages_Rsvd:        0
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: HugePages_Surp:        0
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Hugepagesize:       2048 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: Hugetlb:               0 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: DirectMap4k:      282476 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: DirectMap2M:     7057408 kB
Aug 12 09:14:03.068847 np0000041655 memory_tracker.sh[47356]: DirectMap1G:     7340032 kB
Aug 12 09:14:03.069729 np0000041655 memory_tracker.sh[43908]: ---
Aug 12 09:14:03.081710 np0000041655 memory_tracker.sh[47358]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 12 09:14:03.081710 np0000041655 memory_tracker.sh[47358]:      43258    3.3          416004          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 12 09:14:03.081710 np0000041655 memory_tracker.sh[47358]:      46181    1.1          139860      46180   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 12 09:14:03.081710 np0000041655 memory_tracker.sh[47358]:      46182    1.1          139612      46180   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Aug 12 09:14:03.081710 np0000041655 memory_tracker.sh[47358]:      18111    1.1          136280          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 12 09:14:03.081710 np0000041655 memory_tracker.sh[47358]:      42494    0.9          116632          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 12 09:14:03.081710 np0000041655 memory_tracker.sh[47358]:      27738    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 12 09:14:03.081710 np0000041655 memory_tracker.sh[47358]:      11446    0.3           40712      11444   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      45028    0.2           28416          1   00:00:00       13 ep_poll                   /opt/stack/bin/etcd --name np0000041655 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000041655=http://192.168.1.121:2380 --initial-advertise-peer-urls http://192.168.1.121:2380 --advertise-client-urls http://192.168.1.121:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.121:2379 --log-level=debug
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:        368    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      36540    0.2           26772          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      41454    0.2           26432          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:       2402    0.2           25648       2401   00:00:00        2 do_wait                   /usr/bin/python3
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      17008    0.1           22076          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:       2192    0.1           20800          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:       1297    0.1           19720          1   00:01:09        2 inet_csk_accept           /usr/bin/python3
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      46180    0.1           19576          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      41517    0.1           18684          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      46506    0.1           15736      46501   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      30117    0.1           15484          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      36576    0.1           15432          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 12 09:14:03.082027 np0000041655 memory_tracker.sh[47358]:      32262    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:          1    0.1           14072          0   00:00:11        1 ep_poll                   /sbin/init nofb
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:      11444    0.1           13280          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:        478    0.1           13036          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:      46505    0.1           12844      46501   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:      46584    0.1           12600          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:       4598    0.1           12408       2405   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-12-090531.summary.2026-08-12-090531
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:       4593    0.1           12356       2405   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-12-090531
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:      47191    0.0           11696      47174   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:       1155    0.0           11532          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:       2405    0.0           11508       2403   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:      46707    0.0           10012       2405   00:00:00        1 do_wait                   bash ./stack.sh
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:      46833    0.0           10012       2405   00:00:00        1 do_wait                   bash ./stack.sh
Aug 12 09:14:03.082261 np0000041655 memory_tracker.sh[47358]:      46927    0.0           10012       2405   00:00:00        1 do_wait                   bash ./stack.sh
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:      47021    0.0           10012       2405   00:00:00        1 do_wait                   bash ./stack.sh
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:      47117    0.0           10012       2405   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:      38843    0.0            9980       2405   00:00:00        1 do_wait                   bash ./stack.sh
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:      47128    0.0            9828      47117   00:00:00        1 -                         bash ./stack.sh
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:      47174    0.0            9824      47169   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:      47169    0.0            9756       2405   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:        834    0.0            9744          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:      46501    0.0            9604          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:        533    0.0            9492          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 12 09:14:03.082476 np0000041655 memory_tracker.sh[47358]:      28221    0.0            8908          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
