Jul 14 06:24:23.099691 np0000039451 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 14 06:24:23.107562 np0000039451 memory_tracker.sh[44081]: [[[
Jul 14 06:24:23.108222 np0000039451 memory_tracker.sh[44096]: Tue Jul 14 06:24:23 UTC 2026
Jul 14 06:24:23.108335 np0000039451 memory_tracker.sh[44081]: ---
Jul 14 06:24:23.167195 np0000039451 memory_tracker.sh[44100]: [iscsid (pid:32484)]=14172KB; [multipathd (pid:372)]=288932KB; [ovs-vswitchd (pid:28033)]=901124KB
Jul 14 06:24:23.173295 np0000039451 memory_tracker.sh[44081]: ]]]
Jul 14 06:24:43.178715 np0000039451 memory_tracker.sh[44081]: [[[
Jul 14 06:24:43.179598 np0000039451 memory_tracker.sh[48509]: Tue Jul 14 06:24:43 UTC 2026
Jul 14 06:24:43.179803 np0000039451 memory_tracker.sh[44081]: ---
Jul 14 06:24:43.179803 np0000039451 memory_tracker.sh[44081]: memory_tracker low_point: 10306940
Jul 14 06:24:43.179803 np0000039451 memory_tracker.sh[44081]: ---
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: MemTotal:       12245832 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: MemFree:          192580 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: MemAvailable:   10306940 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Buffers:          249360 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Cached:          9729852 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: SwapCached:            4 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Active:          1255352 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Inactive:        9698412 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Active(anon):    1025128 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Inactive(anon):   127296 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Active(file):     230224 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Inactive(file):  9571116 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Unevictable:      143592 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Mlocked:          142392 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: SwapTotal:       8388604 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: SwapFree:        8388336 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Zswap:               304 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Zswapped:             64 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Dirty:             50116 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Writeback:             0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: AnonPages:       1118204 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Mapped:           197916 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Shmem:            158004 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: KReclaimable:     638704 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Slab:             771968 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: SReclaimable:     638704 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: SUnreclaim:       133264 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: KernelStack:        8664 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: PageTables:        11124 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: SecPageTables:         0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: NFS_Unstable:          0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Bounce:                0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: WritebackTmp:          0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: CommitLimit:    14511520 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Committed_AS:    2946220 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: VmallocTotal:   13743895347199 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: VmallocUsed:       28432 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: VmallocChunk:          0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Percpu:             5184 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: HardwareCorrupted:     0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: AnonHugePages:         0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: ShmemHugePages:        0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: ShmemPmdMapped:        0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: FileHugePages:         0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: FilePmdMapped:         0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Unaccepted:            0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: HugePages_Total:       0
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: HugePages_Free:        0
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: HugePages_Rsvd:        0
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: HugePages_Surp:        0
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Hugepagesize:       2048 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: Hugetlb:               0 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: DirectMap4k:      284524 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: DirectMap2M:     9152512 kB
Jul 14 06:24:43.180574 np0000039451 memory_tracker.sh[48510]: DirectMap1G:     5242880 kB
Jul 14 06:24:43.181656 np0000039451 memory_tracker.sh[44081]: ---
Jul 14 06:24:43.193870 np0000039451 memory_tracker.sh[48512]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 14 06:24:43.193870 np0000039451 memory_tracker.sh[48512]:      43433    3.3          416084          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 14 06:24:43.193870 np0000039451 memory_tracker.sh[48512]:      46347    1.1          139908      46345   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 14 06:24:43.193870 np0000039451 memory_tracker.sh[48512]:      46346    1.1          139824      46345   00:00:03        2 -                         keystoneuWSGI worker 1
Jul 14 06:24:43.193870 np0000039451 memory_tracker.sh[48512]:      18435    1.1          135244          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 14 06:24:43.193870 np0000039451 memory_tracker.sh[48512]:      42712    1.0          126924          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 14 06:24:43.193870 np0000039451 memory_tracker.sh[48512]:      28033    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 14 06:24:43.193870 np0000039451 memory_tracker.sh[48512]:      11715    0.3           40728      11713   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      45196    0.2           28016          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000039451 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000039451=http://192.168.1.103:2380 --initial-advertise-peer-urls http://192.168.1.103:2380 --advertise-client-urls http://192.168.1.103:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.103:2379 --log-level=debug
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:        372    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      36760    0.2           26760          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      41677    0.2           26476          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:       2401    0.2           26460       2400   00:00:00        2 do_wait                   /usr/bin/python3
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      17299    0.1           21972          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:       2191    0.1           20912          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:       1292    0.1           19964          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      46345    0.1           19440          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      41739    0.1           18572          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      46670    0.1           16000      46666   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      36796    0.1           15480          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      30393    0.1           15416          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 14 06:24:43.194296 np0000039451 memory_tracker.sh[48512]:      32484    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 14 06:24:43.194623 np0000039451 memory_tracker.sh[48512]:          1    0.1           14100          0   00:00:11        1 ep_poll                   /sbin/init nofb
Jul 14 06:24:43.194623 np0000039451 memory_tracker.sh[48512]:      46672    0.1           13828      46666   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 14 06:24:43.194623 np0000039451 memory_tracker.sh[48512]:      11713    0.1           13240          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 14 06:24:43.194623 np0000039451 memory_tracker.sh[48512]:        498    0.1           13000          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 14 06:24:43.194623 np0000039451 memory_tracker.sh[48512]:      46749    0.1           12632          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 14 06:24:43.194623 np0000039451 memory_tracker.sh[48512]:       4592    0.1           12408       2404   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-14-061801
Jul 14 06:24:43.194623 np0000039451 memory_tracker.sh[48512]:       4597    0.1           12308       2404   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-14-061801.summary.2026-07-14-061801
Jul 14 06:24:43.194623 np0000039451 memory_tracker.sh[48512]:       2404    0.0           12080       2402   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 14 06:24:43.194623 np0000039451 memory_tracker.sh[48512]:      48487    0.0           11664      48470   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin user create demo_reader --password secretadmin --domain=default --email=demo_reader@example.com --or-show -f value -c id
