Jul 13 06:10:31.625830 np0000039409 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 13 06:10:31.633562 np0000039409 memory_tracker.sh[43845]: [[[
Jul 13 06:10:31.634287 np0000039409 memory_tracker.sh[43860]: Mon Jul 13 06:10:31 UTC 2026
Jul 13 06:10:31.634410 np0000039409 memory_tracker.sh[43845]: ---
Jul 13 06:10:31.634435 np0000039409 memory_tracker.sh[43845]: memory_tracker low_point: 10702928
Jul 13 06:10:31.634435 np0000039409 memory_tracker.sh[43845]: ---
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: MemTotal:       12245832 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: MemFree:          238128 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: MemAvailable:   10702928 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Buffers:          173112 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Cached:         10038308 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: SwapCached:            4 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Active:           828416 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Inactive:       10015888 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Active(anon):     684332 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Inactive(anon):      852 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Active(file):     144084 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Inactive(file): 10015036 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Unevictable:      143592 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Mlocked:          142392 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: SwapTotal:       8388604 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: SwapFree:        8388336 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Zswap:               336 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Zswapped:             68 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Dirty:            226692 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Writeback:             0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: AnonPages:        776348 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Mapped:           162468 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Shmem:             32440 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: KReclaimable:     631556 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Slab:             762472 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: SReclaimable:     631556 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: SUnreclaim:       130916 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: KernelStack:        7952 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: PageTables:         9240 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: SecPageTables:         0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: NFS_Unstable:          0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Bounce:                0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: WritebackTmp:          0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: CommitLimit:    14511520 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Committed_AS:    2203528 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: VmallocTotal:   13743895347199 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: VmallocUsed:       27760 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: VmallocChunk:          0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Percpu:             5056 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: HardwareCorrupted:     0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: AnonHugePages:         0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: ShmemHugePages:        0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: ShmemPmdMapped:        0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: FileHugePages:         0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: FilePmdMapped:         0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Unaccepted:            0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: HugePages_Total:       0
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: HugePages_Free:        0
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: HugePages_Rsvd:        0
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: HugePages_Surp:        0
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Hugepagesize:       2048 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: Hugetlb:               0 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: DirectMap4k:      288620 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: DirectMap2M:     7051264 kB
Jul 13 06:10:31.635191 np0000039409 memory_tracker.sh[43862]: DirectMap1G:     7340032 kB
Jul 13 06:10:31.635907 np0000039409 memory_tracker.sh[43845]: ---
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:      43195    3.1          387172          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:      18181    1.1          135368          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:      27757    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:      42477    0.7           93008          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:      11445    0.3           40612      11443   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:        376    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:      36557    0.2           26688          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:       2395    0.2           26304       2394   00:00:00        2 do_wait                   /usr/bin/python3
Jul 13 06:10:31.645828 np0000039409 memory_tracker.sh[43865]:      41390    0.2           26268          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:       2186    0.1           20840          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:       1291    0.1           19908          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:      17017    0.1           19696          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:      41493    0.1           18472          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:      30130    0.1           15528          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:      36592    0.1           15440          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:      32280    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:          1    0.1           14068          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:      11443    0.1           13368          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:        483    0.1           12976          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:       4586    0.1           12356       2398   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-13-060518
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:       4591    0.1           12312       2398   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-13-060518.summary.2026-07-13-060518
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:       2398    0.0           11576       2396   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:       1149    0.0           11532          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 13 06:10:31.646166 np0000039409 memory_tracker.sh[43865]:      38863    0.0           10036       2398   00:00:00        1 do_wait                   bash ./stack.sh
Jul 13 06:10:31.646411 np0000039409 memory_tracker.sh[43865]:        842    0.0            9668          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 13 06:10:31.646411 np0000039409 memory_tracker.sh[43865]:        535    0.0            9224          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 13 06:10:31.646411 np0000039409 memory_tracker.sh[43865]:      28288    0.0            8972          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
