Jul 15 17:54:19.172380 np0000039573 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 15 17:54:19.180856 np0000039573 memory_tracker.sh[43708]: [[[
Jul 15 17:54:19.181631 np0000039573 memory_tracker.sh[43723]: Wed Jul 15 17:54:19 UTC 2026
Jul 15 17:54:19.181767 np0000039573 memory_tracker.sh[43708]: ---
Jul 15 17:54:19.236691 np0000039573 memory_tracker.sh[43726]: [iscsid (pid:32148)]=14172KB; [multipathd (pid:372)]=288932KB; [ovs-vswitchd (pid:27678)]=901124KB
Jul 15 17:54:19.242238 np0000039573 memory_tracker.sh[43708]: ]]]
Jul 15 17:54:39.247500 np0000039573 memory_tracker.sh[43708]: [[[
Jul 15 17:54:39.248155 np0000039573 memory_tracker.sh[47319]: Wed Jul 15 17:54:39 UTC 2026
Jul 15 17:54:39.248531 np0000039573 memory_tracker.sh[43708]: ---
Jul 15 17:54:39.248531 np0000039573 memory_tracker.sh[43708]: memory_tracker low_point: 10305608
Jul 15 17:54:39.248531 np0000039573 memory_tracker.sh[43708]: ---
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: MemTotal:       12245840 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: MemFree:          169372 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: MemAvailable:   10305608 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Buffers:          217188 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Cached:          9787612 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: SwapCached:            4 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Active:          1196288 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Inactive:        9767040 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Active(anon):    1010520 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Inactive(anon):   125868 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Active(file):     185768 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Inactive(file):  9641172 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Unevictable:      143592 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Mlocked:          142392 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: SwapTotal:       8388604 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: SwapFree:        8388080 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Zswap:               324 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Zswapped:             64 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Dirty:             44904 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Writeback:             0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: AnonPages:       1102212 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Mapped:           198064 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Shmem:            157996 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: KReclaimable:     634980 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Slab:             767880 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: SReclaimable:     634980 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: SUnreclaim:       132900 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: KernelStack:        8720 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: PageTables:        11132 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: SecPageTables:         0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: NFS_Unstable:          0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Bounce:                0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: WritebackTmp:          0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: CommitLimit:    14511524 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Committed_AS:    2932188 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: VmallocTotal:   13743895347199 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: VmallocUsed:       28496 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: VmallocChunk:          0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Percpu:             5152 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: HardwareCorrupted:     0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: AnonHugePages:         0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: ShmemHugePages:        0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: ShmemPmdMapped:        0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: FileHugePages:         0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: FilePmdMapped:         0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Unaccepted:            0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: HugePages_Total:       0
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: HugePages_Free:        0
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: HugePages_Rsvd:        0
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: HugePages_Surp:        0
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Hugepagesize:       2048 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: Hugetlb:               0 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: DirectMap4k:      278380 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: DirectMap2M:     7061504 kB
Jul 15 17:54:39.249331 np0000039573 memory_tracker.sh[47320]: DirectMap1G:     7340032 kB
Jul 15 17:54:39.250495 np0000039573 memory_tracker.sh[43708]: ---
Jul 15 17:54:39.263641 np0000039573 memory_tracker.sh[47322]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 15 17:54:39.263641 np0000039573 memory_tracker.sh[47322]:      43058    3.3          415812          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 15 17:54:39.263641 np0000039573 memory_tracker.sh[47322]:      46032    1.1          139832      46031   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 15 17:54:39.263641 np0000039573 memory_tracker.sh[47322]:      46033    1.1          139740      46031   00:00:03        2 -                         keystoneuWSGI worker 2
Jul 15 17:54:39.263641 np0000039573 memory_tracker.sh[47322]:      18106    1.1          136908          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 15 17:54:39.263641 np0000039573 memory_tracker.sh[47322]:      42341    1.0          126660          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 15 17:54:39.263641 np0000039573 memory_tracker.sh[47322]:      27678    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 15 17:54:39.263641 np0000039573 memory_tracker.sh[47322]:      11443    0.3           40728      11441   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      44876    0.2           28384          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000039573 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000039573=http://192.168.1.119:2380 --initial-advertise-peer-urls http://192.168.1.119:2380 --advertise-client-urls http://192.168.1.119:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.119:2379 --log-level=debug
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:        372    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      36426    0.2           26792          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      41301    0.2           26468          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:       2388    0.2           26376       2387   00:00:00        2 do_wait                   /usr/bin/python3
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      16997    0.1           22224          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:       2176    0.1           20936          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:       1280    0.1           20476          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      46031    0.1           19516          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      41363    0.1           18512          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      46357    0.1           15980      46352   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      30056    0.1           15480          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      36463    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 15 17:54:39.264031 np0000039573 memory_tracker.sh[47322]:      32148    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:          1    0.1           14076          0   00:00:11        1 ep_poll                   /sbin/init nofb
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:      46356    0.1           13992      46352   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:      11441    0.1           13344          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:        482    0.1           12988          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:      46436    0.1           12624          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:       4579    0.1           12480       2391   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-15-174818
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:       4584    0.1           12412       2391   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-15-174818.summary.2026-07-15-174818
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:      47315    0.0           11696      47298   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin user create demo --password secretadmin --domain=default --email=demo@example.com --or-show -f value -c id
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:       2391    0.0           11544       2389   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:       1139    0.0           11464          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:      46559    0.0           10052       2391   00:00:00        1 do_wait                   bash ./stack.sh
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:      46685    0.0           10052       2391   00:00:00        1 do_wait                   bash ./stack.sh
Jul 15 17:54:39.264246 np0000039573 memory_tracker.sh[47322]:      46779    0.0           10052       2391   00:00:00        1 do_wait                   bash ./stack.sh
Jul 15 17:54:39.264447 np0000039573 memory_tracker.sh[47322]:      46873    0.0           10052       2391   00:00:00        1 do_wait                   bash ./stack.sh
Jul 15 17:54:39.264447 np0000039573 memory_tracker.sh[47322]:      46969    0.0           10052       2391   00:00:00        1 do_wait                   bash ./stack.sh
Jul 15 17:54:39.264447 np0000039573 memory_tracker.sh[47322]:      38731    0.0           10012       2391   00:00:00        1 do_wait                   bash ./stack.sh
Jul 15 17:54:39.264447 np0000039573 memory_tracker.sh[47322]:      47298    0.0            9916      47289   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 15 17:54:39.264447 np0000039573 memory_tracker.sh[47322]:      47289    0.0            9852       2391   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 15 17:54:39.264447 np0000039573 memory_tracker.sh[47322]:        841    0.0            9704          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 15 17:54:39.264447 np0000039573 memory_tracker.sh[47322]:      46352    0.0            9584          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Jul 15 17:54:39.264447 np0000039573 memory_tracker.sh[47322]:        527    0.0            9292          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 15 17:54:39.264447 np0000039573 memory_tracker.sh[47322]:      28166    0.0            8948          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Jul 15 17:54:39.264653 np0000039573 memory_tracker.sh[47322]:      28239    0.0            8864          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Jul 15 17:54:39.264653 np0000039573 memory_tracker.sh[47322]:       1112    0.0            8364          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Jul 15 17:54:39.264653 np0000039573 memory_tracker.sh[47322]:      28014    0.0            8344          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Jul 15 17:54:39.264653 np0000039573 memory_tracker.sh[47322]:        483    0.0            8172          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Jul 15 17:54:39.264653 np0000039573 memory_tracker.sh[47322]:      29826    0.0            8084          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Jul 15 17:54:39.264653 np0000039573 memory_tracker.sh[47322]:       2181    0.0            8076          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Jul 15 17:54:39.264653 np0000039573 memory_tracker.sh[47322]:      28360    0.0            7552          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Jul 15 17:54:39.264826 np0000039573 memory_tracker.sh[47322]:      27624    0.0            7460          1   00:00:00        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Jul 15 17:54:39.264826 np0000039573 memory_tracker.sh[47322]:        394    0.0            7376          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Jul 15 17:54:39.264826 np0000039573 memory_tracker.sh[47322]:       2362    0.0            7132       2352   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
