Jul 31 07:29:56.700727 np0000040704 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 31 07:29:56.708647 np0000040704 memory_tracker.sh[43912]: [[[
Jul 31 07:29:56.709532 np0000040704 memory_tracker.sh[43925]: Fri Jul 31 07:29:56 UTC 2026
Jul 31 07:29:56.709683 np0000040704 memory_tracker.sh[43912]: ---
Jul 31 07:29:56.765752 np0000040704 memory_tracker.sh[43929]: [iscsid (pid:32280)]=14172KB; [multipathd (pid:375)]=288932KB; [ovs-vswitchd (pid:27814)]=901128KB
Jul 31 07:29:56.771383 np0000040704 memory_tracker.sh[43912]: ]]]
Jul 31 07:30:16.776163 np0000040704 memory_tracker.sh[43912]: [[[
Jul 31 07:30:16.776893 np0000040704 memory_tracker.sh[47396]: Fri Jul 31 07:30:16 UTC 2026
Jul 31 07:30:16.777062 np0000040704 memory_tracker.sh[43912]: ---
Jul 31 07:30:16.777062 np0000040704 memory_tracker.sh[43912]: memory_tracker low_point: 10365960
Jul 31 07:30:16.777062 np0000040704 memory_tracker.sh[43912]: ---
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: MemTotal:       12245840 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: MemFree:          170324 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: MemAvailable:   10365964 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Buffers:          199744 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Cached:          9807076 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: SwapCached:            4 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Active:          1159012 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Inactive:        9792804 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Active(anon):     996872 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Inactive(anon):    63504 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Active(file):     162140 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Inactive(file):  9729300 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Unevictable:      143596 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Mlocked:          142396 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: SwapTotal:       8388604 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: SwapFree:        8388080 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Zswap:               336 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Zswapped:             68 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Dirty:             53504 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Writeback:             0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: AnonPages:       1088652 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Mapped:           202456 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Shmem:             95496 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: KReclaimable:     629884 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Slab:             761608 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: SReclaimable:     629884 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: SUnreclaim:       131724 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: KernelStack:        8732 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: PageTables:        11476 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: SecPageTables:         0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: NFS_Unstable:          0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Bounce:                0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: WritebackTmp:          0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: CommitLimit:    14511524 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Committed_AS:    2858004 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: VmallocTotal:   13743895347199 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: VmallocUsed:       28452 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: VmallocChunk:          0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Percpu:             5184 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: HardwareCorrupted:     0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: AnonHugePages:         0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: ShmemHugePages:        0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: ShmemPmdMapped:        0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: FileHugePages:         0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: FilePmdMapped:         0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Unaccepted:            0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: HugePages_Total:       0
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: HugePages_Free:        0
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: HugePages_Rsvd:        0
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: HugePages_Surp:        0
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Hugepagesize:       2048 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: Hugetlb:               0 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: DirectMap4k:      280428 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: DirectMap2M:     7059456 kB
Jul 31 07:30:16.777757 np0000040704 memory_tracker.sh[47397]: DirectMap1G:     7340032 kB
Jul 31 07:30:16.778529 np0000040704 memory_tracker.sh[43912]: ---
Jul 31 07:30:16.794264 np0000040704 memory_tracker.sh[47399]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 31 07:30:16.794264 np0000040704 memory_tracker.sh[47399]:      43259    3.3          415492          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 31 07:30:16.794264 np0000040704 memory_tracker.sh[47399]:      46182    1.1          139972      46180   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 31 07:30:16.794264 np0000040704 memory_tracker.sh[47399]:      46181    1.1          139812      46180   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Jul 31 07:30:16.794264 np0000040704 memory_tracker.sh[47399]:      18239    1.0          133296          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 31 07:30:16.794264 np0000040704 memory_tracker.sh[47399]:      42534    0.9          117384          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 31 07:30:16.794264 np0000040704 memory_tracker.sh[47399]:      27814    0.9          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 31 07:30:16.794264 np0000040704 memory_tracker.sh[47399]:      11506    0.3           40668      11504   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      45032    0.2           27908          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000040704 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040704=http://192.168.1.110:2380 --initial-advertise-peer-urls http://192.168.1.110:2380 --advertise-client-urls http://192.168.1.110:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.110:2379 --log-level=debug
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:        375    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      36558    0.2           26744          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      41430    0.2           26432          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:       2479    0.2           25868       2478   00:00:00        2 do_wait                   /usr/bin/python3
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      17137    0.1           21884          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:       2270    0.1           20808          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:       1376    0.1           19960          1   00:01:08        2 inet_csk_accept           /usr/bin/python3
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      46180    0.1           19512          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      41500    0.1           18580          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      36594    0.1           15476          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      46505    0.1           15448      46500   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      30175    0.1           15408          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 31 07:30:16.794597 np0000040704 memory_tracker.sh[47399]:      32280    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:          1    0.1           14108          0   00:00:11        1 ep_poll                   /sbin/init nofb
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:      46504    0.1           13920      46500   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:      11504    0.1           13316          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:        484    0.1           13064          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:      46583    0.1           12592          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:       4670    0.1           12416       2482   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-31-072349
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:       4675    0.1           12288       2482   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-31-072349.summary.2026-07-31-072349
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:      47192    0.0           11640      47175   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:       1233    0.0           11524          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:       2482    0.0           11508       2480   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:      46708    0.0           10020       2482   00:00:00        1 do_wait                   bash ./stack.sh
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:      46834    0.0           10016       2482   00:00:00        1 do_wait                   bash ./stack.sh
Jul 31 07:30:16.794779 np0000040704 memory_tracker.sh[47399]:      46928    0.0           10016       2482   00:00:00        1 do_wait                   bash ./stack.sh
Jul 31 07:30:16.794961 np0000040704 memory_tracker.sh[47399]:      47022    0.0           10016       2482   00:00:00        1 do_wait                   bash ./stack.sh
Jul 31 07:30:16.794961 np0000040704 memory_tracker.sh[47399]:      47118    0.0           10016       2482   00:00:00        1 do_wait                   bash ./stack.sh
Jul 31 07:30:16.794961 np0000040704 memory_tracker.sh[47399]:      38862    0.0            9968       2482   00:00:00        1 do_wait                   bash ./stack.sh
Jul 31 07:30:16.794961 np0000040704 memory_tracker.sh[47399]:      47175    0.0            9824      47170   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 31 07:30:16.794961 np0000040704 memory_tracker.sh[47399]:      47170    0.0            9756       2482   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 31 07:30:16.794961 np0000040704 memory_tracker.sh[47399]:      46500    0.0            9644          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Jul 31 07:30:16.794961 np0000040704 memory_tracker.sh[47399]:        438    0.0            9620          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 31 07:30:16.794961 np0000040704 memory_tracker.sh[47399]:        546    0.0            9304          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 31 07:30:16.794961 np0000040704 memory_tracker.sh[47399]:      28298    0.0            8896          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Jul 31 07:30:16.795107 np0000040704 memory_tracker.sh[47399]:      28371    0.0            8844          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Jul 31 07:30:16.795107 np0000040704 memory_tracker.sh[47399]:      28147    0.0            8440          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Jul 31 07:30:16.795107 np0000040704 memory_tracker.sh[47399]:       1120    0.0            8424          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Jul 31 07:30:16.795107 np0000040704 memory_tracker.sh[47399]:        485    0.0            8224          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Jul 31 07:30:16.795107 np0000040704 memory_tracker.sh[47399]:       2275    0.0            8136          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Jul 31 07:30:16.795107 np0000040704 memory_tracker.sh[47399]:      29946    0.0            8112          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Jul 31 07:30:16.795107 np0000040704 memory_tracker.sh[47399]:      28492    0.0            7556          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:      27759    0.0            7516          1   00:00:00        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:        387    0.0            7400          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:       2453    0.0            7148       2443   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:       2477    0.0            6944       2476   00:00:00        1 do_poll.constprop.0       sudo -H -S -n -u stack /bin/sh -c echo BECOME-SUCCESS-khuwrhzoexibqzkpbngmtjxkxefvegpl ; /usr/bin/python3
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:      41433    0.0            6820      41430   00:00:00        1 ep_poll                   smbd: notifyd .
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:      41434    0.0            6288      41430   00:00:00        1 ep_poll                   smbd: cleanupd
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:        534    0.0            5864          1   00:00:01        1 ep_poll                   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:      15569    0.0            5800          1   00:00:00        4 do_select                 /usr/sbin/rsyslogd -n -iNONE
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:        473    0.0            5084          1   00:00:00        1 do_select                 /usr/sbin/haveged --Foreground --verbose=1
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:      47398    0.0            4360      43912   00:00:00        1 -                         ps --sort=-pmem -eo pid:10,pmem:6,rss:15,ppid:10,cputime:10,nlwp:8,wchan:25,args:100
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:      40272    0.0            4248          1   00:00:00        1 do_poll.constprop.0       /sbin/rpcbind -f -w
Jul 31 07:30:16.795222 np0000040704 memory_tracker.sh[47399]:      40907    0.0            3840          1   00:00:00        1 ep_poll                   /usr/sbin/fsidd
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:      43912    0.0            3624          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/memory_tracker.sh
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:      44399    0.0            3592          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/file_tracker.sh
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:      18124    0.0            3460          1   00:00:00        1 do_select                 /usr/bin/epmd -systemd
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:      28564    0.0            3448          1   00:00:00        1 do_poll.constprop.0       ovn-controller-vtep -vconsole:emer -vsyslog:err -vfile:info --vtep-db=/var/run/openvswitch/db.sock --ovnsb-db=/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-controller-vtep.log --pidfile=/var/run/ovn/ovn-controller-vtep.pid --detach
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:        975    0.0            3416          1   00:00:00        1 do_select                 dhclient
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:        711    0.0            3412          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.enp4s0.pid -lf /var/lib/dhcp/dhclient.enp4s0.leases -I -df /var/lib/dhcp/dhclient6.enp4s0.leases enp4s0
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:        707    0.0            3376          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.enp3s0.pid -lf /var/lib/dhcp/dhclient.enp3s0.leases -I -df /var/lib/dhcp/dhclient6.enp3s0.leases enp3s0
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:       1234    0.0            3332       1233   00:00:00        1 do_sigtimedwait.isra.0    (sd-pam)
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:       5409    0.0            3108          1   00:00:00        1 do_wait                   /bin/bash /usr/sbin/ksmtuned
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:      40926    0.0            3080          1   00:00:00        1 ep_poll                   /usr/sbin/nfsdcld
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:        990    0.0            2760          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/cron -f -P
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:        993    0.0            2500          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/atd -f
Jul 31 07:30:16.795395 np0000040704 memory_tracker.sh[47399]:      40916    0.0            2484          1   00:00:00        1 ep_poll                   /usr/sbin/rpc.idmapd
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      30060    0.0            2304          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:       1008    0.0            2224          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      47399    0.0            2224      43912   00:00:00        1 pipe_read                 grep -v ]$
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      40915    0.0            2144          1   00:00:00        1 do_select                 /usr/sbin/rpc.statd
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:       1006    0.0            2100          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --noclear - linux
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      42992    0.0            2032       5409   00:00:00        1 hrtimer_nanosleep         sleep 60
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      44403    0.0            2032      44399   00:00:00        1 hrtimer_nanosleep         sleep 20
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      18325    0.0            1980      18249   00:00:00        1 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/inet_gethost 4
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      47232    0.0            1980      46708   00:00:00        1 wait_for_partner          cat /opt/stack/async/ks-domain-role.fifo
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      41616    0.0            1976      38862   00:00:00        1 wait_for_partner          cat /opt/stack/async/install_tempest.fifo
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      47272    0.0            1976      46834   00:00:00        1 wait_for_partner          cat /opt/stack/async/ks-project.fifo
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      47312    0.0            1976      46928   00:00:00        1 wait_for_partner          cat /opt/stack/async/ks-service.fifo
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      47352    0.0            1976      47022   00:00:00        1 wait_for_partner          cat /opt/stack/async/ks-reseller.fifo
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      47392    0.0            1976      47118   00:00:00        1 wait_for_partner          cat /opt/stack/async/ks-anotherrole.fifo
Jul 31 07:30:16.795581 np0000040704 memory_tracker.sh[47399]:      40927    0.0            1952          1   00:00:00        1 do_select                 /usr/sbin/rpc.mountd
Jul 31 07:30:16.795782 np0000040704 memory_tracker.sh[47399]:       2478    0.0            1920       2477   00:00:00        1 do_wait                   /bin/sh -c echo BECOME-SUCCESS-khuwrhzoexibqzkpbngmtjxkxefvegpl ; /usr/bin/python3
Jul 31 07:30:16.795782 np0000040704 memory_tracker.sh[47399]:      18329    0.0            1920      18249   00:00:00        1 pipe_read                 /bin/sh -s rabbit_disk_monitor
Jul 31 07:30:16.795782 np0000040704 memory_tracker.sh[47399]:       2480    0.0            1916       2479   00:00:00        1 do_wait                   /bin/sh -c ./stack.sh 2>&1 rc=$? echo "*** FINISHED ***" exit $rc
Jul 31 07:30:16.795782 np0000040704 memory_tracker.sh[47399]:      32279    0.0            1916          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/iscsid
Jul 31 07:30:16.795782 np0000040704 memory_tracker.sh[47399]:       2476    0.0            1908       2453   00:00:00        1 do_wait                   /bin/sh -c sudo -H -S -n  -u stack /bin/sh -c 'echo BECOME-SUCCESS-khuwrhzoexibqzkpbngmtjxkxefvegpl ; /usr/bin/python3' && sleep 0
