Jul 15 09:07:26.421485 np0000039530 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 15 09:07:26.430353 np0000039530 memory_tracker.sh[43760]: [[[
Jul 15 09:07:26.431056 np0000039530 memory_tracker.sh[43776]: Wed Jul 15 09:07:26 UTC 2026
Jul 15 09:07:26.431169 np0000039530 memory_tracker.sh[43760]: ---
Jul 15 09:07:26.431189 np0000039530 memory_tracker.sh[43760]: memory_tracker low_point: 10812888
Jul 15 09:07:26.431189 np0000039530 memory_tracker.sh[43760]: ---
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: MemTotal:       12245828 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: MemFree:          361256 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: MemAvailable:   10812384 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Buffers:          223856 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Cached:          9953676 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: SwapCached:            4 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Active:           840076 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Inactive:        9959236 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Active(anon):     673884 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Inactive(anon):      196 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Active(file):     166192 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Inactive(file):  9959040 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Unevictable:      143588 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Mlocked:          142388 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: SwapTotal:       8388604 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: SwapFree:        8388080 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Zswap:               364 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Zswapped:             68 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Dirty:            180488 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Writeback:             0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: AnonPages:        765152 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Mapped:           162752 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Shmem:             32440 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: KReclaimable:     651580 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Slab:             785064 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: SReclaimable:     651580 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: SUnreclaim:       133484 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: KernelStack:        7952 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: PageTables:         8984 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: SecPageTables:         0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: NFS_Unstable:          0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Bounce:                0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: WritebackTmp:          0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: CommitLimit:    14511516 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Committed_AS:    2173808 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: VmallocTotal:   13743895347199 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: VmallocUsed:       27744 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: VmallocChunk:          0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Percpu:             5056 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: HardwareCorrupted:     0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: AnonHugePages:         0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: ShmemHugePages:        0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: ShmemPmdMapped:        0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: FileHugePages:         0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: FilePmdMapped:         0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Unaccepted:            0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: HugePages_Total:       0
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: HugePages_Free:        0
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: HugePages_Rsvd:        0
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: HugePages_Surp:        0
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Hugepagesize:       2048 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: Hugetlb:               0 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: DirectMap4k:      292716 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: DirectMap2M:     9144320 kB
Jul 15 09:07:26.431896 np0000039530 memory_tracker.sh[43778]: DirectMap1G:     5242880 kB
Jul 15 09:07:26.432702 np0000039530 memory_tracker.sh[43760]: ---
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:      43109    3.1          387252          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:      18005    1.0          134656          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:      27717    0.9          116228          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:      42389    0.6           82232          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:      11345    0.3           40536      11343   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:        374    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:      41284    0.2           26504          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:      36399    0.2           26440          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 15 09:07:26.442970 np0000039530 memory_tracker.sh[43780]:       2409    0.2           26272       2408   00:00:00        2 do_wait                   /usr/bin/python3
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:       2200    0.1           20892          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:       1304    0.1           20452          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:      16895    0.1           19988          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:      41347    0.1           18512          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:      36435    0.1           15532          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:      30073    0.1           15496          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:      32096    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:          1    0.1           14020          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:      11343    0.1           13260          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:        492    0.1           13024          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:       4590    0.1           12344       2412   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-15-090143
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:       4595    0.1           12336       2412   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-15-090143.summary.2026-07-15-090143
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:       2412    0.0           11536       2410   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:       1162    0.0           11480          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 15 09:07:26.443375 np0000039530 memory_tracker.sh[43780]:      38729    0.0           10000       2412   00:00:00        1 do_wait                   bash ./stack.sh
Jul 15 09:07:26.443568 np0000039530 memory_tracker.sh[43780]:        850    0.0            9644          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 15 09:07:26.443568 np0000039530 memory_tracker.sh[43780]:        543    0.0            9276          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 15 09:07:26.443568 np0000039530 memory_tracker.sh[43780]:      28246    0.0            8920          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
