Aug 10 08:23:47.566913 np0000041482 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 10 08:23:47.574513 np0000041482 memory_tracker.sh[43848]: [[[
Aug 10 08:23:47.575244 np0000041482 memory_tracker.sh[43863]: Mon Aug 10 08:23:47 UTC 2026
Aug 10 08:23:47.575368 np0000041482 memory_tracker.sh[43848]: ---
Aug 10 08:23:47.575405 np0000041482 memory_tracker.sh[43848]: memory_tracker low_point: 10765112
Aug 10 08:23:47.575405 np0000041482 memory_tracker.sh[43848]: ---
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: MemTotal:       12245840 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: MemFree:          266532 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: MemAvailable:   10765112 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Buffers:          214716 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Cached:         10018584 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: SwapCached:            4 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Active:           779668 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Inactive:       10072936 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Active(anon):     670704 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Inactive(anon):      960 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Active(file):     108964 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Inactive(file): 10071976 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Unevictable:      143592 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Mlocked:          142392 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: SwapTotal:       8388604 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: SwapFree:        8388080 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Zswap:               364 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Zswapped:             68 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Dirty:            180972 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Writeback:             0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: AnonPages:        762848 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Mapped:           157480 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Shmem:             32460 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: KReclaimable:     643324 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Slab:             775244 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: SReclaimable:     643324 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: SUnreclaim:       131920 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: KernelStack:        8028 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: PageTables:         9712 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: SecPageTables:         0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: NFS_Unstable:          0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Bounce:                0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: WritebackTmp:          0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: CommitLimit:    14511524 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Committed_AS:    2214936 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: VmallocTotal:   13743895347199 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: VmallocUsed:       27780 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: VmallocChunk:          0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Percpu:             5056 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: HardwareCorrupted:     0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: AnonHugePages:         0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: ShmemHugePages:        0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: ShmemPmdMapped:        0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: FileHugePages:         0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: FilePmdMapped:         0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Unaccepted:            0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: HugePages_Total:       0
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: HugePages_Free:        0
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: HugePages_Rsvd:        0
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: HugePages_Surp:        0
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Hugepagesize:       2048 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: Hugetlb:               0 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: DirectMap4k:      288620 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: DirectMap2M:    10196992 kB
Aug 10 08:23:47.576095 np0000041482 memory_tracker.sh[43864]: DirectMap1G:     4194304 kB
Aug 10 08:23:47.576866 np0000041482 memory_tracker.sh[43848]: ---
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:      43198    3.1          386892          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:      18093    1.0          133368          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:      27722    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:      42480    0.6           74824          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:      11427    0.3           40556      11425   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:        374    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:      36518    0.2           26932          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:      41438    0.2           26404          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 10 08:23:47.587122 np0000041482 memory_tracker.sh[43867]:       2385    0.2           25756       2384   00:00:00        2 do_wait                   /usr/bin/python3
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:       2174    0.1           20944          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:       1278    0.1           20460          1   00:01:09        2 inet_csk_accept           /usr/bin/python3
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:      16989    0.1           20164          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:      41502    0.1           18680          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:      36553    0.1           15492          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:      30086    0.1           15352          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:      32242    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:          1    0.1           14088          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:      11425    0.1           13260          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:        481    0.1           12976          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:       4576    0.1           12412       2388   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-10-081603
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:       4581    0.1           12316       2388   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-10-081603.summary.2026-08-10-081603
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:       2388    0.0           11500       2386   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:       1137    0.0           11472          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 10 08:23:47.587472 np0000041482 memory_tracker.sh[43867]:      38830    0.0            9968       2388   00:00:00        1 do_wait                   bash ./stack.sh
Aug 10 08:23:47.587679 np0000041482 memory_tracker.sh[43867]:        844    0.0            9712          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 10 08:23:47.587679 np0000041482 memory_tracker.sh[43867]:        536    0.0            9276          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 10 08:23:47.587679 np0000041482 memory_tracker.sh[43867]:      28208    0.0            8856          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
