Aug 19 13:12:29.586838 np0000042422 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 19 13:12:29.594548 np0000042422 memory_tracker.sh[43690]: [[[
Aug 19 13:12:29.595269 np0000042422 memory_tracker.sh[43705]: Wed Aug 19 13:12:29 UTC 2026
Aug 19 13:12:29.595384 np0000042422 memory_tracker.sh[43690]: ---
Aug 19 13:12:29.595384 np0000042422 memory_tracker.sh[43690]: memory_tracker low_point: 10799648
Aug 19 13:12:29.595418 np0000042422 memory_tracker.sh[43690]: ---
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: MemTotal:       12245832 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: MemFree:          311688 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: MemAvailable:   10798656 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Buffers:          171196 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Cached:         10069240 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: SwapCached:            4 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Active:           813024 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Inactive:       10046668 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Active(anon):     670900 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Inactive(anon):      804 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Active(file):     142124 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Inactive(file): 10045864 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Unevictable:      143600 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Mlocked:          142400 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: SwapTotal:       8388604 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: SwapFree:        8388080 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Zswap:               324 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Zswapped:             64 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Dirty:            217116 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Writeback:             0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: AnonPages:        762856 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Mapped:           158680 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Shmem:             32584 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: KReclaimable:     624856 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Slab:             755344 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: SReclaimable:     624856 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: SUnreclaim:       130488 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: KernelStack:        8000 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: PageTables:         8780 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: SecPageTables:         0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: NFS_Unstable:          0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Bounce:                0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: WritebackTmp:          0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: CommitLimit:    14511520 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Committed_AS:    2184496 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: VmallocTotal:   13743895347199 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: VmallocUsed:       27796 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: VmallocChunk:          0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Percpu:             5056 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: HardwareCorrupted:     0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: AnonHugePages:         0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: ShmemHugePages:        0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: ShmemPmdMapped:        0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: FileHugePages:         0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: FilePmdMapped:         0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Unaccepted:            0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: HugePages_Total:       0
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: HugePages_Free:        0
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: HugePages_Rsvd:        0
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: HugePages_Surp:        0
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Hugepagesize:       2048 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: Hugetlb:               0 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: DirectMap4k:      288620 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: DirectMap2M:    10196992 kB
Aug 19 13:12:29.596581 np0000042422 memory_tracker.sh[43706]: DirectMap1G:     4194304 kB
Aug 19 13:12:29.597255 np0000042422 memory_tracker.sh[43690]: ---
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:      43040    3.1          387140          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:      18102    1.1          135076          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:      27721    0.9          116240          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:      42322    0.6           73864          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:      11438    0.3           40536      11436   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:        374    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:      36363    0.2           26892          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:      41218    0.2           26468          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 19 13:12:29.607324 np0000042422 memory_tracker.sh[43709]:       2396    0.2           26400       2395   00:00:00        2 do_wait                   /usr/bin/python3
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:       2182    0.1           20832          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:       1287    0.1           20444          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:      16998    0.1           19816          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:      41282    0.1           18568          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:      30038    0.1           15396          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:      36399    0.1           15312          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:      32085    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:          1    0.1           14112          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:      11436    0.1           13384          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:        478    0.1           13032          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:       4587    0.1           12344       2399   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-19-130727
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:       4592    0.1           12304       2399   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-19-130727.summary.2026-08-19-130727
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:       1146    0.0           11524          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:       2399    0.0           11508       2397   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 19 13:12:29.607687 np0000042422 memory_tracker.sh[43709]:      38668    0.0            9976       2399   00:00:00        1 do_wait                   bash ./stack.sh
Aug 19 13:12:29.607888 np0000042422 memory_tracker.sh[43709]:        849    0.0            9676          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 19 13:12:29.607888 np0000042422 memory_tracker.sh[43709]:        543    0.0            9424          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 19 13:12:29.607888 np0000042422 memory_tracker.sh[43709]:      28205    0.0            8936          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
