Jul 22 05:50:44.759079 np0000040038 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 22 05:50:44.766670 np0000040038 memory_tracker.sh[44123]: [[[
Jul 22 05:50:44.767390 np0000040038 memory_tracker.sh[44138]: Wed Jul 22 05:50:44 UTC 2026
Jul 22 05:50:44.767509 np0000040038 memory_tracker.sh[44123]: ---
Jul 22 05:50:44.823916 np0000040038 memory_tracker.sh[44142]: [iscsid (pid:32516)]=14172KB; [multipathd (pid:372)]=288932KB; [ovs-vswitchd (pid:28042)]=901124KB
Jul 22 05:50:44.829108 np0000040038 memory_tracker.sh[44123]: ]]]
Jul 22 05:51:04.833785 np0000040038 memory_tracker.sh[44123]: [[[
Jul 22 05:51:04.834510 np0000040038 memory_tracker.sh[47633]: Wed Jul 22 05:51:04 UTC 2026
Jul 22 05:51:04.834654 np0000040038 memory_tracker.sh[44123]: ---
Jul 22 05:51:04.834654 np0000040038 memory_tracker.sh[44123]: memory_tracker low_point: 10331296
Jul 22 05:51:04.834654 np0000040038 memory_tracker.sh[44123]: ---
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: MemTotal:       12245840 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: MemFree:          188128 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: MemAvailable:   10331296 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Buffers:          203672 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Cached:          9819816 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: SwapCached:            4 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Active:          1325008 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Inactive:        9641892 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Active(anon):    1120400 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Inactive(anon):      864 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Active(file):     204608 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Inactive(file):  9641028 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Unevictable:      143592 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Mlocked:          142392 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: SwapTotal:       8388604 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: SwapFree:        8388336 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Zswap:               336 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Zswapped:             68 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Dirty:             47380 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Writeback:             0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: AnonPages:       1087052 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Mapped:           199376 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Shmem:            157984 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: KReclaimable:     623216 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Slab:             753892 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: SReclaimable:     623216 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: SUnreclaim:       130676 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: KernelStack:        8672 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: PageTables:        11212 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: SecPageTables:         0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: NFS_Unstable:          0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Bounce:                0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: WritebackTmp:          0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: CommitLimit:    14511524 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Committed_AS:    2922836 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: VmallocTotal:   13743895347199 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: VmallocUsed:       28480 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: VmallocChunk:          0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Percpu:             5152 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: HardwareCorrupted:     0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: AnonHugePages:         0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: ShmemHugePages:        0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: ShmemPmdMapped:        0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: FileHugePages:         0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: FilePmdMapped:         0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Unaccepted:            0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: HugePages_Total:       0
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: HugePages_Free:        0
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: HugePages_Rsvd:        0
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: HugePages_Surp:        0
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Hugepagesize:       2048 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: Hugetlb:               0 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: DirectMap4k:      288620 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: DirectMap2M:     9148416 kB
Jul 22 05:51:04.835558 np0000040038 memory_tracker.sh[47635]: DirectMap1G:     5242880 kB
Jul 22 05:51:04.836415 np0000040038 memory_tracker.sh[44123]: ---
Jul 22 05:51:04.847521 np0000040038 memory_tracker.sh[47638]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 22 05:51:04.847521 np0000040038 memory_tracker.sh[47638]:      43473    3.4          416468          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 22 05:51:04.847521 np0000040038 memory_tracker.sh[47638]:      46403    1.1          139788      46401   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 22 05:51:04.847521 np0000040038 memory_tracker.sh[47638]:      46402    1.1          139640      46401   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Jul 22 05:51:04.847521 np0000040038 memory_tracker.sh[47638]:      18478    1.0          134400          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 22 05:51:04.847521 np0000040038 memory_tracker.sh[47638]:      42755    0.9          116324          1   00:00:02        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 22 05:51:04.847521 np0000040038 memory_tracker.sh[47638]:      28042    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 22 05:51:04.847521 np0000040038 memory_tracker.sh[47638]:      11816    0.3           40604      11814   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      45244    0.2           28044          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000040038 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040038=http://192.168.1.146:2380 --initial-advertise-peer-urls http://192.168.1.146:2380 --advertise-client-urls http://192.168.1.146:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.146:2379 --log-level=debug
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:        372    0.2           27296          1   00:00:02        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      36793    0.2           26704          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      41715    0.2           26448          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:       2736    0.2           26388       2735   00:00:00        2 do_wait                   /usr/bin/python3
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      17370    0.1           22016          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:       2526    0.1           20880          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:       1632    0.1           20464          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      46401    0.1           19560          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      41778    0.1           18652          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      30415    0.1           15464          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      36829    0.1           15464          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      46727    0.1           14976      46723   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 22 05:51:04.847859 np0000040038 memory_tracker.sh[47638]:      46728    0.1           14972      46723   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:      32516    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:          1    0.1           14144          0   00:00:11        1 ep_poll                   /sbin/init nofb
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:      11814    0.1           13284          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:        493    0.1           12996          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:      46806    0.1           12564          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:       4927    0.1           12416       2739   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-22-054452
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:       4932    0.1           12316       2739   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-22-054452.summary.2026-07-22-054452
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:       2739    0.0           11536       2737   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:       1490    0.0           11388          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 22 05:51:04.848110 np0000040038 memory_tracker.sh[47638]:      46929    0.0           10040       2739   00:00:00        1 do_wait                   bash ./stack.sh
