Jul 15 16:03:34.414904 np0000039557 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 15 16:03:34.423540 np0000039557 memory_tracker.sh[43212]: [[[
Jul 15 16:03:34.424258 np0000039557 memory_tracker.sh[43227]: Wed Jul 15 16:03:34 UTC 2026
Jul 15 16:03:34.425098 np0000039557 memory_tracker.sh[43212]: ---
Jul 15 16:03:34.425098 np0000039557 memory_tracker.sh[43212]: memory_tracker low_point: 10803960
Jul 15 16:03:34.425098 np0000039557 memory_tracker.sh[43212]: ---
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: MemTotal:       12245836 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: MemFree:          267760 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: MemAvailable:   10803960 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Buffers:          176480 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Cached:         10142960 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: SwapCached:            4 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Active:           799596 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Inactive:       10141188 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Active(anon):     672668 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Inactive(anon):      976 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Active(file):     126928 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Inactive(file): 10140212 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Unevictable:      143596 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Mlocked:          142396 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: SwapTotal:       8388604 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: SwapFree:        8388080 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Zswap:               336 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Zswapped:             68 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Dirty:            176656 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Writeback:             0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: AnonPages:        765052 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Mapped:           162416 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Shmem:             32440 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: KReclaimable:     594744 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Slab:             720692 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: SReclaimable:     594744 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: SUnreclaim:       125948 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: KernelStack:        7972 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: PageTables:         9184 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: SecPageTables:         0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: NFS_Unstable:          0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Bounce:                0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: WritebackTmp:          0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: CommitLimit:    14511520 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Committed_AS:    2183608 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: VmallocTotal:   13743895347199 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: VmallocUsed:       27776 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: VmallocChunk:          0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Percpu:             4992 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: HardwareCorrupted:     0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: AnonHugePages:         0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: ShmemHugePages:        0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: ShmemPmdMapped:        0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: FileHugePages:         0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: FilePmdMapped:         0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Unaccepted:            0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: HugePages_Total:       0
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: HugePages_Free:        0
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: HugePages_Rsvd:        0
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: HugePages_Surp:        0
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Hugepagesize:       2048 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: Hugetlb:               0 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: DirectMap4k:      290668 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: DirectMap2M:     7049216 kB
Jul 15 16:03:34.425376 np0000039557 memory_tracker.sh[43230]: DirectMap1G:     7340032 kB
Jul 15 16:03:34.426181 np0000039557 memory_tracker.sh[43212]: ---
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:      42562    3.1          386780          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:      18043    1.1          136316          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:      27639    0.9          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:      41873    0.6           81576          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:      11394    0.3           40576      11392   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:        375    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:      36030    0.2           26596          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:      40832    0.2           26396          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 15 16:03:34.436186 np0000039557 memory_tracker.sh[43232]:       2397    0.2           26392       2396   00:00:00        2 do_wait                   /usr/bin/python3
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:       2185    0.1           20884          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:      16955    0.1           19936          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:       1290    0.1           19712          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:      40895    0.1           18556          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:      36066    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:      30000    0.1           15392          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:      31836    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:          1    0.1           14136          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:      11392    0.1           13260          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:        492    0.1           12988          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:       4581    0.1           12360       2400   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-15-155709
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:       4586    0.1           12316       2400   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-15-155709.summary.2026-07-15-155709
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:       2400    0.0           11584       2398   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:       1149    0.0           11504          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 15 16:03:34.436661 np0000039557 memory_tracker.sh[43232]:      38281    0.0           10112       2400   00:00:00        1 do_wait                   bash ./stack.sh
Jul 15 16:03:34.437396 np0000039557 memory_tracker.sh[43232]:        853    0.0            9732          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 15 16:03:34.437396 np0000039557 memory_tracker.sh[43232]:        545    0.0            9264          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 15 16:03:34.437396 np0000039557 memory_tracker.sh[43232]:      28123    0.0            8924          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
