Aug 11 13:47:04.156991 np0000041613 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 11 13:47:04.164828 np0000041613 memory_tracker.sh[44285]: [[[
Aug 11 13:47:04.166025 np0000041613 memory_tracker.sh[44299]: Tue Aug 11 13:47:04 UTC 2026
Aug 11 13:47:04.166119 np0000041613 memory_tracker.sh[44285]: ---
Aug 11 13:47:04.226523 np0000041613 memory_tracker.sh[44302]: [iscsid (pid:32678)]=14172KB; [multipathd (pid:378)]=288932KB; [ovs-vswitchd (pid:28107)]=901124KB
Aug 11 13:47:04.232770 np0000041613 memory_tracker.sh[44285]: ]]]
Aug 11 13:47:24.237833 np0000041613 memory_tracker.sh[44285]: [[[
Aug 11 13:47:24.238562 np0000041613 memory_tracker.sh[47848]: Tue Aug 11 13:47:24 UTC 2026
Aug 11 13:47:24.238708 np0000041613 memory_tracker.sh[44285]: ---
Aug 11 13:47:24.238708 np0000041613 memory_tracker.sh[44285]: memory_tracker low_point: 10337824
Aug 11 13:47:24.238708 np0000041613 memory_tracker.sh[44285]: ---
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: MemTotal:       12245836 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: MemFree:          159788 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: MemAvailable:   10337600 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Buffers:          186560 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Cached:          9867520 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: SwapCached:           44 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Active:          1236844 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Inactive:        9764000 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Active(anon):     999628 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Inactive(anon):   125600 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Active(file):     237216 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Inactive(file):  9638400 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Unevictable:      144436 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Mlocked:          143236 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: SwapTotal:       8388604 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: SwapFree:        8387824 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Zswap:              1540 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Zswapped:            468 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Dirty:             50604 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Writeback:             0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: AnonPages:       1091104 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Mapped:           202092 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Shmem:            157756 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: KReclaimable:     627880 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Slab:             761008 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: SReclaimable:     627880 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: SUnreclaim:       133128 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: KernelStack:        8636 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: PageTables:        11336 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: SecPageTables:         0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: NFS_Unstable:          0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Bounce:                0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: WritebackTmp:          0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: CommitLimit:    14511520 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Committed_AS:    2921112 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: VmallocTotal:   13743895347199 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: VmallocUsed:       28372 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: VmallocChunk:          0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Percpu:             4960 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: HardwareCorrupted:     0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: AnonHugePages:         0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: ShmemHugePages:        0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: ShmemPmdMapped:        0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: FileHugePages:         0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: FilePmdMapped:         0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Unaccepted:            0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: HugePages_Total:       0
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: HugePages_Free:        0
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: HugePages_Rsvd:        0
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: HugePages_Surp:        0
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Hugepagesize:       2048 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: Hugetlb:               0 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: DirectMap4k:      286572 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: DirectMap2M:     7053312 kB
Aug 11 13:47:24.239438 np0000041613 memory_tracker.sh[47849]: DirectMap1G:     7340032 kB
Aug 11 13:47:24.240305 np0000041613 memory_tracker.sh[44285]: ---
Aug 11 13:47:24.250960 np0000041613 memory_tracker.sh[47851]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 11 13:47:24.250960 np0000041613 memory_tracker.sh[47851]:      43635    3.3          416080          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 11 13:47:24.250960 np0000041613 memory_tracker.sh[47851]:      46557    1.1          139804      46555   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 11 13:47:24.250960 np0000041613 memory_tracker.sh[47851]:      46558    1.1          139660      46555   00:00:03        2 wait_woken                keystoneuWSGI worker 2
Aug 11 13:47:24.250960 np0000041613 memory_tracker.sh[47851]:      18476    1.0          134084          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 11 13:47:24.250960 np0000041613 memory_tracker.sh[47851]:      42916    0.9          117788          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 11 13:47:24.250960 np0000041613 memory_tracker.sh[47851]:      28107    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 11 13:47:24.250960 np0000041613 memory_tracker.sh[47851]:      11594    0.3           40576      11592   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:      45406    0.2           28100          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000041613 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000041613=http://192.168.1.122:2380 --initial-advertise-peer-urls http://192.168.1.122:2380 --advertise-client-urls http://192.168.1.122:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.122:2379 --log-level=debug
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:        378    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:      36957    0.2           26748          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:      41786    0.2           26456          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:       2393    0.2           26452       2392   00:00:00        2 do_wait                   /usr/bin/python3
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:      17363    0.1           21776          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:       2181    0.1           20888          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:       1286    0.1           20496          1   00:01:09        2 inet_csk_accept           /usr/bin/python3
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:      46555    0.1           19552          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:      41861    0.1           18512          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:      46925    0.1           15616      46920   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:      30583    0.1           15504          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 11 13:47:24.251245 np0000041613 memory_tracker.sh[47851]:      36992    0.1           15500          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:          1    0.1           14204          0   00:00:12        1 ep_poll                   /usr/lib/systemd/systemd --system --deserialize=65 nofb
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:      32678    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:      46924    0.1           13812      46920   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:      11592    0.1           13312          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:      12143    0.1           13280          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:      47003    0.1           12600          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:       4584    0.1           12364       2396   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-11-133822
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:       4589    0.1           12304       2396   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-11-133822.summary.2026-08-11-133822
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:      47844    0.0           11660      47827   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Aug 11 13:47:24.251416 np0000041613 memory_tracker.sh[47851]:       2396    0.0           11560       2394   00:00:02        1 pipe_read                 bash ./stack.sh
