Jul 14 05:26:05.854059 np0000039446 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 14 05:26:05.863000 np0000039446 memory_tracker.sh[43975]: [[[
Jul 14 05:26:05.863768 np0000039446 memory_tracker.sh[43990]: Tue Jul 14 05:26:05 UTC 2026
Jul 14 05:26:05.863913 np0000039446 memory_tracker.sh[43975]: ---
Jul 14 05:26:05.928708 np0000039446 memory_tracker.sh[43994]: [iscsid (pid:32427)]=14172KB; [multipathd (pid:375)]=288932KB; [ovs-vswitchd (pid:27968)]=901124KB
Jul 14 05:26:05.934837 np0000039446 memory_tracker.sh[43975]: ]]]
Jul 14 05:26:25.939649 np0000039446 memory_tracker.sh[43975]: [[[
Jul 14 05:26:25.940485 np0000039446 memory_tracker.sh[47496]: Tue Jul 14 05:26:25 UTC 2026
Jul 14 05:26:25.940657 np0000039446 memory_tracker.sh[43975]: ---
Jul 14 05:26:25.940657 np0000039446 memory_tracker.sh[43975]: memory_tracker low_point: 10307284
Jul 14 05:26:25.940657 np0000039446 memory_tracker.sh[43975]: ---
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: MemTotal:       12245840 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: MemFree:          205072 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: MemAvailable:   10307284 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Buffers:          216556 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Cached:          9762596 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: SwapCached:            4 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Active:          1268172 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Inactive:        9668480 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Active(anon):    1132968 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Inactive(anon):     2380 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Active(file):     135204 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Inactive(file):  9666100 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Unevictable:      143592 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Mlocked:          142392 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: SwapTotal:       8388604 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: SwapFree:        8388080 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Zswap:               304 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Zswapped:             64 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Dirty:             50948 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Writeback:             4 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: AnonPages:       1101172 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Mapped:           197948 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Shmem:            157988 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: KReclaimable:     626592 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Slab:             758620 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: SReclaimable:     626592 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: SUnreclaim:       132028 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: KernelStack:        8804 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: PageTables:        11300 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: SecPageTables:         0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: NFS_Unstable:          0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Bounce:                0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: WritebackTmp:          0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: CommitLimit:    14511524 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Committed_AS:    2928840 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: VmallocTotal:   13743895347199 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: VmallocUsed:       28448 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: VmallocChunk:          0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Percpu:             5088 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: HardwareCorrupted:     0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: AnonHugePages:         0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: ShmemHugePages:        0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: ShmemPmdMapped:        0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: FileHugePages:         0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: FilePmdMapped:         0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Unaccepted:            0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: HugePages_Total:       0
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: HugePages_Free:        0
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: HugePages_Rsvd:        0
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: HugePages_Surp:        0
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Hugepagesize:       2048 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: Hugetlb:               0 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: DirectMap4k:      296812 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: DirectMap2M:     5994496 kB
Jul 14 05:26:25.941169 np0000039446 memory_tracker.sh[47497]: DirectMap1G:     8388608 kB
Jul 14 05:26:25.942013 np0000039446 memory_tracker.sh[43975]: ---
Jul 14 05:26:25.952904 np0000039446 memory_tracker.sh[47499]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 14 05:26:25.952904 np0000039446 memory_tracker.sh[47499]:      43327    3.3          415960          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 14 05:26:25.952904 np0000039446 memory_tracker.sh[47499]:      46282    1.1          139980      46281   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 14 05:26:25.952904 np0000039446 memory_tracker.sh[47499]:      46283    1.1          139772      46281   00:00:03        2 -                         keystoneuWSGI worker 2
Jul 14 05:26:25.952904 np0000039446 memory_tracker.sh[47499]:      18350    1.1          136252          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 14 05:26:25.952904 np0000039446 memory_tracker.sh[47499]:      42607    1.0          127044          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 14 05:26:25.952904 np0000039446 memory_tracker.sh[47499]:      27968    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 14 05:26:25.952904 np0000039446 memory_tracker.sh[47499]:      11706    0.3           40540      11703   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      45090    0.2           28576          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000039446 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000039446=http://192.168.1.146:2380 --initial-advertise-peer-urls http://192.168.1.146:2380 --advertise-client-urls http://192.168.1.146:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.146:2379 --log-level=debug
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:        375    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      36704    0.2           26744          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      41492    0.2           26404          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:       2399    0.2           26380       2398   00:00:00        2 do_wait                   /usr/bin/python3
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      17246    0.1           22024          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:       2190    0.1           21004          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:       1293    0.1           20456          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      46281    0.1           19480          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      41567    0.1           18584          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      46606    0.1           15520      46601   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      30331    0.1           15496          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      36740    0.1           15368          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 14 05:26:25.953262 np0000039446 memory_tracker.sh[47499]:      32427    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 14 05:26:25.953487 np0000039446 memory_tracker.sh[47499]:          1    0.1           14100          0   00:00:12        1 ep_poll                   /sbin/init nofb
Jul 14 05:26:25.953487 np0000039446 memory_tracker.sh[47499]:      46605    0.1           13556      46601   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 14 05:26:25.953687 np0000039446 memory_tracker.sh[47499]:      11703    0.1           13360          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 14 05:26:25.953687 np0000039446 memory_tracker.sh[47499]:        497    0.1           13028          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 14 05:26:25.953687 np0000039446 memory_tracker.sh[47499]:      46684    0.1           12616          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 14 05:26:25.953687 np0000039446 memory_tracker.sh[47499]:       4590    0.1           12388       2402   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-14-051830
Jul 14 05:26:25.953687 np0000039446 memory_tracker.sh[47499]:       4595    0.1           12284       2402   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-14-051830.summary.2026-07-14-051830
Jul 14 05:26:25.953687 np0000039446 memory_tracker.sh[47499]:      47292    0.0           11648      47275   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Jul 14 05:26:25.953687 np0000039446 memory_tracker.sh[47499]:       2402    0.0           11532       2400   00:00:02        1 pipe_read                 bash ./stack.sh
