Aug 11 09:23:24.981610 np0000041579 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 11 09:23:24.989807 np0000041579 memory_tracker.sh[44197]: [[[
Aug 11 09:23:24.990524 np0000041579 memory_tracker.sh[44212]: Tue Aug 11 09:23:24 UTC 2026
Aug 11 09:23:24.990644 np0000041579 memory_tracker.sh[44197]: ---
Aug 11 09:23:24.990664 np0000041579 memory_tracker.sh[44197]: memory_tracker low_point: 10812860
Aug 11 09:23:24.990664 np0000041579 memory_tracker.sh[44197]: ---
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: MemTotal:       12245836 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: MemFree:          380820 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: MemAvailable:   10812356 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Buffers:          167828 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Cached:         10006412 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: SwapCached:           68 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Active:           805148 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Inactive:        9987728 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Active(anon):     670936 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Inactive(anon):      760 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Active(file):     134212 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Inactive(file):  9986968 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Unevictable:      144440 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Mlocked:          143240 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: SwapTotal:       8388604 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: SwapFree:        8387824 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Zswap:               736 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Zswapped:            236 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Dirty:            106576 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Writeback:             0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: AnonPages:        762940 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Mapped:           160448 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Shmem:             32356 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: KReclaimable:     636040 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Slab:             767712 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: SReclaimable:     636040 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: SUnreclaim:       131672 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: KernelStack:        8036 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: PageTables:         9288 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: SecPageTables:         0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: NFS_Unstable:          0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Bounce:                0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: WritebackTmp:          0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: CommitLimit:    14511520 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Committed_AS:    2201828 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: VmallocTotal:   13743895347199 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: VmallocUsed:       27780 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: VmallocChunk:          0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Percpu:             4896 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: HardwareCorrupted:     0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: AnonHugePages:         0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: ShmemHugePages:        0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: ShmemPmdMapped:        0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: FileHugePages:         0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: FilePmdMapped:         0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Unaccepted:            0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: HugePages_Total:       0
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: HugePages_Free:        0
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: HugePages_Rsvd:        0
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: HugePages_Surp:        0
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Hugepagesize:       2048 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: Hugetlb:               0 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: DirectMap4k:      280428 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: DirectMap2M:     8108032 kB
Aug 11 09:23:24.991328 np0000041579 memory_tracker.sh[44214]: DirectMap1G:     6291456 kB
Aug 11 09:23:24.992118 np0000041579 memory_tracker.sh[44197]: ---
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:      43547    3.1          387172          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:      18512    1.0          134084          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:      28080    0.9          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:      42784    0.6           74772          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:      11626    0.3           40572      11624   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:        374    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:      36824    0.2           26808          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:       2413    0.2           26332       2412   00:00:00        2 do_wait                   /usr/bin/python3
Aug 11 09:23:25.002111 np0000041579 memory_tracker.sh[44217]:      41744    0.2           26276          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:       2202    0.1           20856          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:       1308    0.1           20472          1   00:01:09        2 inet_csk_accept           /usr/bin/python3
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:      41807    0.1           18528          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:      17403    0.1           18348          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:      36860    0.1           15456          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:      30463    0.1           15420          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:      32548    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:          1    0.1           14108          0   00:00:11        1 ep_poll                   /usr/lib/systemd/systemd --system --deserialize=65 nofb
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:      11624    0.1           13356          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:      12177    0.1           13300          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:       4604    0.1           12404       2416   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-11-091517
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:       4609    0.1           12280       2416   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-11-091517.summary.2026-08-11-091517
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:       2416    0.0           11516       2414   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 11 09:23:25.002485 np0000041579 memory_tracker.sh[44217]:       1166    0.0           11100          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user --deserialize=24
Aug 11 09:23:25.002678 np0000041579 memory_tracker.sh[44217]:      39130    0.0            9980       2416   00:00:00        1 do_wait                   bash ./stack.sh
Aug 11 09:23:25.002886 np0000041579 memory_tracker.sh[44217]:        544    0.0            9848          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 11 09:23:25.002886 np0000041579 memory_tracker.sh[44217]:      11685    0.0            9744          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
