Sep 15 07:30:19.247173 np0000044651 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 15 07:30:19.255122 np0000044651 memory_tracker.sh[44065]: [[[
Sep 15 07:30:19.255807 np0000044651 memory_tracker.sh[44080]: Tue Sep 15 07:30:19 UTC 2026
Sep 15 07:30:19.255925 np0000044651 memory_tracker.sh[44065]: ---
Sep 15 07:30:19.310513 np0000044651 memory_tracker.sh[44084]: [iscsid (pid:32505)]=14180KB; [multipathd (pid:373)]=288940KB; [ovs-vswitchd (pid:28042)]=901136KB
Sep 15 07:30:19.315924 np0000044651 memory_tracker.sh[44065]: ]]]
Sep 15 07:30:39.321035 np0000044651 memory_tracker.sh[44065]: [[[
Sep 15 07:30:39.321767 np0000044651 memory_tracker.sh[47675]: Tue Sep 15 07:30:39 UTC 2026
Sep 15 07:30:39.321901 np0000044651 memory_tracker.sh[44065]: ---
Sep 15 07:30:39.321901 np0000044651 memory_tracker.sh[44065]: memory_tracker low_point: 10318536
Sep 15 07:30:39.321901 np0000044651 memory_tracker.sh[44065]: ---
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: MemTotal:       12245836 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: MemFree:          200304 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: MemAvailable:   10318536 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Buffers:          223520 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Cached:          9758168 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: SwapCached:            4 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Active:          1150784 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Inactive:        9777036 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Active(anon):     998004 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Inactive(anon):   126012 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Active(file):     152780 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Inactive(file):  9651024 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Unevictable:      143608 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Mlocked:          142408 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: SwapTotal:       8388604 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: SwapFree:        8388336 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Zswap:               352 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Zswapped:             64 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Dirty:              5724 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Writeback:             0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: AnonPages:       1089828 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Mapped:           199376 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Shmem:            158004 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: KReclaimable:     640112 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Slab:             773532 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: SReclaimable:     640112 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: SUnreclaim:       133420 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: KernelStack:        8672 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: PageTables:        11164 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: SecPageTables:         0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: NFS_Unstable:          0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Bounce:                0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: WritebackTmp:          0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: CommitLimit:    14511520 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Committed_AS:    2903296 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: VmallocTotal:   13743895347199 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: VmallocUsed:       28440 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: VmallocChunk:          0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Percpu:             5184 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: HardwareCorrupted:     0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: AnonHugePages:         0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: ShmemHugePages:        0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: ShmemPmdMapped:        0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: FileHugePages:         0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: FilePmdMapped:         0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Unaccepted:            0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: HugePages_Total:       0
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: HugePages_Free:        0
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: HugePages_Rsvd:        0
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: HugePages_Surp:        0
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Hugepagesize:       2048 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: Hugetlb:               0 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: DirectMap4k:      290668 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: DirectMap2M:     8097792 kB
Sep 15 07:30:39.322719 np0000044651 memory_tracker.sh[47676]: DirectMap1G:     6291456 kB
Sep 15 07:30:39.323684 np0000044651 memory_tracker.sh[44065]: ---
Sep 15 07:30:39.334385 np0000044651 memory_tracker.sh[47678]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 15 07:30:39.334385 np0000044651 memory_tracker.sh[47678]:      43415    3.3          415748          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 15 07:30:39.334385 np0000044651 memory_tracker.sh[47678]:      46389    1.1          139008      46387   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Sep 15 07:30:39.334385 np0000044651 memory_tracker.sh[47678]:      46388    1.1          138864      46387   00:00:03        2 -                         keystoneuWSGI worker 1
Sep 15 07:30:39.334385 np0000044651 memory_tracker.sh[47678]:      18468    1.1          135792          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 15 07:30:39.334385 np0000044651 memory_tracker.sh[47678]:      42696    0.9          116332          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 15 07:30:39.334385 np0000044651 memory_tracker.sh[47678]:      28042    0.9          116244          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 15 07:30:39.334385 np0000044651 memory_tracker.sh[47678]:      11122    0.3           40596      11120   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      45236    0.2           28564          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000044651 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000044651=http://192.168.1.140:2380 --initial-advertise-peer-urls http://192.168.1.140:2380 --advertise-client-urls http://192.168.1.140:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.140:2379 --log-level=debug
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:        373    0.2           27304          1   00:00:01        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      36782    0.2           26784          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      41656    0.2           26412          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:       2643    0.2           26396       2642   00:00:00        2 do_wait                   /usr/bin/python3
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      17307    0.1           21908          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:       2439    0.1           20840          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:       1543    0.1           20452          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      46387    0.1           19460          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      41719    0.1           18524          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      46715    0.1           15732      46709   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      30409    0.1           15444          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      36817    0.1           15404          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 15 07:30:39.334666 np0000044651 memory_tracker.sh[47678]:      32505    0.1           14188          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 15 07:30:39.334888 np0000044651 memory_tracker.sh[47678]:          1    0.1           14096          0   00:00:11        1 ep_poll                   /sbin/init nofb
Sep 15 07:30:39.334888 np0000044651 memory_tracker.sh[47678]:      46713    0.1           13456      46709   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 15 07:30:39.334888 np0000044651 memory_tracker.sh[47678]:      11120    0.1           13276          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 15 07:30:39.334888 np0000044651 memory_tracker.sh[47678]:        480    0.1           12992          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 15 07:30:39.334888 np0000044651 memory_tracker.sh[47678]:      46792    0.1           12600          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 15 07:30:39.334888 np0000044651 memory_tracker.sh[47678]:       4834    0.1           12364       2646   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-15-072417
Sep 15 07:30:39.334888 np0000044651 memory_tracker.sh[47678]:       4839    0.1           12300       2646   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-15-072417.summary.2026-09-15-072417
Sep 15 07:30:39.334888 np0000044651 memory_tracker.sh[47678]:      47671    0.0           11660      47654   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin user create demo --password secretadmin --domain=default --email=demo@example.com --or-show -f value -c id
Sep 15 07:30:39.334888 np0000044651 memory_tracker.sh[47678]:       2646    0.0           11548       2644   00:00:02        1 pipe_read                 bash ./stack.sh
