Jul 16 04:47:50.990081 np0000039591 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 16 04:47:50.998351 np0000039591 memory_tracker.sh[43762]: [[[
Jul 16 04:47:50.999092 np0000039591 memory_tracker.sh[43775]: Thu Jul 16 04:47:50 UTC 2026
Jul 16 04:47:50.999243 np0000039591 memory_tracker.sh[43762]: ---
Jul 16 04:47:50.999284 np0000039591 memory_tracker.sh[43762]: memory_tracker low_point: 10813100
Jul 16 04:47:50.999284 np0000039591 memory_tracker.sh[43762]: ---
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: MemTotal:       12245836 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: MemFree:          409360 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: MemAvailable:   10811336 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Buffers:          235712 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Cached:          9894632 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: SwapCached:            4 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Active:           930264 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Inactive:        9834660 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Active(anon):     686080 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Inactive(anon):      800 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Active(file):     244184 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Inactive(file):  9833860 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Unevictable:      143592 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Mlocked:          142392 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: SwapTotal:       8388604 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: SwapFree:        8388080 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Zswap:               364 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Zswapped:             68 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Dirty:            139440 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Writeback:             0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: AnonPages:        777992 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Mapped:           162872 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Shmem:             32440 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: KReclaimable:     649616 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Slab:             783096 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: SReclaimable:     649616 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: SUnreclaim:       133480 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: KernelStack:        8040 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: PageTables:         9304 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: SecPageTables:         0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: NFS_Unstable:          0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Bounce:                0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: WritebackTmp:          0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: CommitLimit:    14511520 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Committed_AS:    2220708 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: VmallocTotal:   13743895347199 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: VmallocUsed:       27776 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: VmallocChunk:          0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Percpu:             4960 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: HardwareCorrupted:     0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: AnonHugePages:         0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: ShmemHugePages:        0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: ShmemPmdMapped:        0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: FileHugePages:         0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: FilePmdMapped:         0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Unaccepted:            0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: HugePages_Total:       0
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: HugePages_Free:        0
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: HugePages_Rsvd:        0
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: HugePages_Surp:        0
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Hugepagesize:       2048 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: Hugetlb:               0 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: DirectMap4k:      286572 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: DirectMap2M:     8101888 kB
Jul 16 04:47:50.999983 np0000039591 memory_tracker.sh[43778]: DirectMap1G:     6291456 kB
Jul 16 04:47:51.000793 np0000039591 memory_tracker.sh[43762]: ---
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:      43112    3.1          387256          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:      18115    1.1          136248          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:      27683    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:      42345    0.7           93284          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:      11444    0.3           40616      11442   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:        374    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:      36421    0.2           26688          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:       2389    0.2           26336       2388   00:00:00        2 do_wait                   /usr/bin/python3
Jul 16 04:47:51.011084 np0000039591 memory_tracker.sh[43780]:      41299    0.2           26288          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:       2178    0.1           20740          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:       1283    0.1           20372          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:      17005    0.1           20348          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:      41361    0.1           18452          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:      30048    0.1           15524          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:      36456    0.1           15420          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:      32143    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:          1    0.1           14052          0   00:00:11        1 ep_poll                   /sbin/init nofb
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:      11442    0.1           13236          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:        485    0.1           13060          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:       4580    0.1           12368       2392   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-16-044137
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:       4585    0.1           12336       2392   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-16-044137.summary.2026-07-16-044137
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:       2392    0.0           11548       2390   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:       1142    0.0           11532          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 16 04:47:51.011458 np0000039591 memory_tracker.sh[43780]:      38724    0.0           10000       2392   00:00:00        1 do_wait                   bash ./stack.sh
Jul 16 04:47:51.011660 np0000039591 memory_tracker.sh[43780]:        842    0.0            9680          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 16 04:47:51.011660 np0000039591 memory_tracker.sh[43780]:        536    0.0            9500          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 16 04:47:51.011660 np0000039591 memory_tracker.sh[43780]:      28166    0.0            8960          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
