Jul 07 11:49:22.921559 np0000039011 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 07 11:49:22.929615 np0000039011 memory_tracker.sh[43719]: [[[
Jul 07 11:49:22.930347 np0000039011 memory_tracker.sh[43733]: Tue Jul  7 11:49:22 UTC 2026
Jul 07 11:49:22.930475 np0000039011 memory_tracker.sh[43719]: ---
Jul 07 11:49:22.930497 np0000039011 memory_tracker.sh[43719]: memory_tracker low_point: 10752172
Jul 07 11:49:22.930497 np0000039011 memory_tracker.sh[43719]: ---
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: MemTotal:       12245832 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: MemFree:          287812 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: MemAvailable:   10751668 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Buffers:          174904 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Cached:         10035888 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: SwapCached:            4 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Active:           799420 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Inactive:       10042472 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Active(anon):     682392 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Inactive(anon):     1028 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Active(file):     117028 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Inactive(file): 10041444 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Unevictable:      143588 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Mlocked:          142388 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: SwapTotal:       8388604 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: SwapFree:        8388336 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Zswap:               248 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Zswapped:             48 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Dirty:            216984 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Writeback:             0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: AnonPages:        775024 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Mapped:           162244 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Shmem:             32460 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: KReclaimable:     631068 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Slab:             761476 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: SReclaimable:     631068 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: SUnreclaim:       130408 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: KernelStack:        8052 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: PageTables:         9504 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: SecPageTables:         0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: NFS_Unstable:          0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Bounce:                0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: WritebackTmp:          0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: CommitLimit:    14511520 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Committed_AS:    2197676 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: VmallocTotal:   13743895347199 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: VmallocUsed:       27808 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: VmallocChunk:          0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Percpu:             4960 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: HardwareCorrupted:     0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: AnonHugePages:         0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: ShmemHugePages:        0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: ShmemPmdMapped:        0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: FileHugePages:         0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: FilePmdMapped:         0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Unaccepted:            0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: HugePages_Total:       0
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: HugePages_Free:        0
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: HugePages_Rsvd:        0
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: HugePages_Surp:        0
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Hugepagesize:       2048 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: Hugetlb:               0 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: DirectMap4k:      270188 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: DirectMap2M:     8118272 kB
Jul 07 11:49:22.931202 np0000039011 memory_tracker.sh[43735]: DirectMap1G:     6291456 kB
Jul 07 11:49:22.932030 np0000039011 memory_tracker.sh[43719]: ---
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:      43069    3.1          386836          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:      18135    1.1          134796          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:      27754    0.9          116228          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:      42350    0.7           93228          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:      11473    0.3           40572      11471   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:        374    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:      36394    0.2           26768          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:      41175    0.2           26448          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 07 11:49:22.943091 np0000039011 memory_tracker.sh[43738]:       2426    0.2           25812       2425   00:00:00        2 do_wait                   /usr/bin/python3
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:       2218    0.1           20888          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:      17026    0.1           19876          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:       1324    0.1           19856          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:      41238    0.1           18536          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:      30067    0.1           15504          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:      36429    0.1           15448          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:      32116    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:          1    0.1           14028          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:      11471    0.1           13260          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:        484    0.1           12984          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:       4622    0.1           12404       2429   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-07-114438.summary.2026-07-07-114438
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:       4617    0.1           12388       2429   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-07-114438
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:       2429    0.0           11564       2427   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:       1182    0.0           11532          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 07 11:49:22.943426 np0000039011 memory_tracker.sh[43738]:      38700    0.0            9968       2429   00:00:00        1 do_wait                   bash ./stack.sh
Jul 07 11:49:22.943618 np0000039011 memory_tracker.sh[43738]:        846    0.0            9652          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 07 11:49:22.943618 np0000039011 memory_tracker.sh[43738]:        533    0.0            9232          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 07 11:49:22.943618 np0000039011 memory_tracker.sh[43738]:      28235    0.0            8872          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Jul 07 11:49:22.943618 np0000039011 memory_tracker.sh[43738]:      28308    0.0            8820          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Jul 07 11:49:22.943618 np0000039011 memory_tracker.sh[43738]:      28086    0.0            8388          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Jul 07 11:49:22.943618 np0000039011 memory_tracker.sh[43738]:       1114    0.0            8332          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Jul 07 11:49:22.943618 np0000039011 memory_tracker.sh[43738]:        486    0.0            8180          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
