Jul 30 13:04:39.529938 np0000040627 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 30 13:04:39.538070 np0000040627 memory_tracker.sh[43824]: [[[
Jul 30 13:04:39.538816 np0000040627 memory_tracker.sh[43838]: Thu Jul 30 13:04:39 UTC 2026
Jul 30 13:04:39.538941 np0000040627 memory_tracker.sh[43824]: ---
Jul 30 13:04:39.596859 np0000040627 memory_tracker.sh[43842]: [iscsid (pid:32191)]=14172KB; [multipathd (pid:373)]=288932KB; [ovs-vswitchd (pid:27665)]=901124KB
Jul 30 13:04:39.603200 np0000040627 memory_tracker.sh[43824]: ]]]
Jul 30 13:04:59.608441 np0000040627 memory_tracker.sh[43824]: [[[
Jul 30 13:04:59.609120 np0000040627 memory_tracker.sh[47011]: Thu Jul 30 13:04:59 UTC 2026
Jul 30 13:04:59.609556 np0000040627 memory_tracker.sh[43824]: ---
Jul 30 13:04:59.609556 np0000040627 memory_tracker.sh[43824]: memory_tracker low_point: 10338352
Jul 30 13:04:59.609556 np0000040627 memory_tracker.sh[43824]: ---
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: MemTotal:       12245840 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: MemFree:          167040 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: MemAvailable:   10337848 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Buffers:          201492 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Cached:          9843532 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: SwapCached:            4 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Active:          1174712 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Inactive:        9826440 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Active(anon):    1007936 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Inactive(anon):   126064 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Active(file):     166776 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Inactive(file):  9700376 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Unevictable:      143592 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Mlocked:          142392 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: SwapTotal:       8388604 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: SwapFree:        8388336 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Zswap:               208 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Zswapped:             44 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Dirty:              8672 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Writeback:             0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: AnonPages:       1099564 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Mapped:           198096 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Shmem:            157992 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: KReclaimable:     629340 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Slab:             761184 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: SReclaimable:     629340 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: SUnreclaim:       131844 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: KernelStack:        8868 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: PageTables:        11544 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: SecPageTables:         0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: NFS_Unstable:          0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Bounce:                0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: WritebackTmp:          0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: CommitLimit:    14511524 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Committed_AS:    2947524 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: VmallocTotal:   13743895347199 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: VmallocUsed:       28500 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: VmallocChunk:          0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Percpu:             5152 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: HardwareCorrupted:     0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: AnonHugePages:         0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: ShmemHugePages:        0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: ShmemPmdMapped:        0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: FileHugePages:         0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: FilePmdMapped:         0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Unaccepted:            0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: HugePages_Total:       0
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: HugePages_Free:        0
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: HugePages_Rsvd:        0
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: HugePages_Surp:        0
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Hugepagesize:       2048 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: Hugetlb:               0 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: DirectMap4k:      284524 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: DirectMap2M:    10201088 kB
Jul 30 13:04:59.610122 np0000040627 memory_tracker.sh[47013]: DirectMap1G:     4194304 kB
Jul 30 13:04:59.611376 np0000040627 memory_tracker.sh[43824]: ---
Jul 30 13:04:59.623473 np0000040627 memory_tracker.sh[47017]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 30 13:04:59.623473 np0000040627 memory_tracker.sh[47017]:      43174    3.4          416444          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 30 13:04:59.623473 np0000040627 memory_tracker.sh[47017]:      46104    1.1          137316      46102   00:00:02        2 ep_poll                   keystoneuWSGI worker 2
Jul 30 13:04:59.623473 np0000040627 memory_tracker.sh[47017]:      46103    1.1          136728      46102   00:00:03        2 -                         keystoneuWSGI worker 1
Jul 30 13:04:59.623473 np0000040627 memory_tracker.sh[47017]:      18097    1.1          135244          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 30 13:04:59.623473 np0000040627 memory_tracker.sh[47017]:      42455    0.9          117688          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 30 13:04:59.623473 np0000040627 memory_tracker.sh[47017]:      27665    0.9          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 30 13:04:59.623473 np0000040627 memory_tracker.sh[47017]:      11437    0.3           40640      11435   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      44946    0.2           28172          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000040627 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040627=http://192.168.1.105:2380 --initial-advertise-peer-urls http://192.168.1.105:2380 --advertise-client-urls http://192.168.1.105:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.105:2379 --log-level=debug
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:        373    0.2           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      36470    0.2           26652          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      41414    0.2           26400          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:       2394    0.2           25652       2393   00:00:00        2 do_wait                   /usr/bin/python3
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      16989    0.1           21840          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:       2183    0.1           20952          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:       1288    0.1           20460          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      46102    0.1           19608          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      41477    0.1           18516          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      30048    0.1           15596          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      36506    0.1           15508          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      46428    0.1           14968      46423   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 30 13:04:59.623822 np0000040627 memory_tracker.sh[47017]:      32191    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:          1    0.1           14012          0   00:00:12        1 ep_poll                   /sbin/init nofb
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:      11435    0.1           13336          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:      46427    0.1           13052      46423   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:        477    0.1           12992          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:      46506    0.1           12568          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:       4585    0.1           12372       2397   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-30-125744
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:       4590    0.1           12288       2397   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-30-125744.summary.2026-07-30-125744
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:      46983    0.0           11684      46955   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create ResellerAdmin --or-show -f value -c id
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:      46704    0.0           11664      46687   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role admin --user 8e557c6890194de6869019ce3e51af30 --domain default -c Role -f value
Jul 30 13:04:59.624059 np0000040627 memory_tracker.sh[47017]:      46895    0.0           11660      46861   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create service --or-show -f value -c id
Jul 30 13:04:59.624704 np0000040627 memory_tracker.sh[47017]:      46798    0.0           11652      46767   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create service --domain=Default --or-show -f value -c id
Jul 30 13:04:59.624704 np0000040627 memory_tracker.sh[47017]:       2397    0.0           11536       2395   00:00:02        1 do_wait                   bash ./stack.sh
